Year,Month,BSE_Index,Gold_Mumbai,Gold_London,Oil_Price,Oil_Price_Change
1991,JAN,1220.41,3534.78,2205.91,19.4,-0.1797
1991,FEB,1167.97,3520.7,2256.06,19.45,0.0026
1991,MAR,1235.11,3583.35,2294.56,19.25,-0.0103
1991,APR,1307.34,3750.77,2362.66,19.3,0.0026
1991,MAY,1269.91,3733.87,2477.25,18.2,-0.057
1991,JUN,1632.67,4065.54,3027.32,19.45,0.0687
1991,JUL,1795.99,4187.08,2957.29,19.75,0.0154
1991,AUG,1885.28,4246.48,2898.23,20.5,0.038
1991,SEP,1889.84,4491.28,2987.56,22.2,0.0829
1991,OCT,1903.31,4713.55,2997.23,21.25,-0.0428
1991,NOV,1908.85,4883.2,3010.74,18.4,-0.1341
1991,DEC,2302.54,4930.84,2953.14,18.15,-0.0136
1992,JAN,3017.68,4737.79,2948.29,18.1,-0.0028
1992,FEB,4285,4247.79,3178.62,17.6,-0.0276
1992,MAR,3887.72,4497.18,3365.7,18.95,0.0767
1992,APR,3006.08,4176.77,3287.43,19.9,0.0501
1992,MAY,3080.54,4110.15,3313.26,21.15,0.0628
1992,JUN,2727.06,4136.55,3428,20.25,-0.0426
1992,JUL,3031.63,4094,3323.88,19.75,-0.0247
1992,AUG,3294.42,4086.13,3336.85,20.25,0.0253
1992,SEP,2833.34,4079,3320.23,20.3,0.0025
1992,OCT,2518.1,3998.61,3241.48,19.2,-0.0542
1992,NOV,2615.37,3966.81,3305.05,18.15,-0.0547
1992,DEC,2680.79,3977.24,3271.32,17.4,-0.0413
1993,JAN,2783.58,4027.1,3457.45,18.45,0.0603
1993,FEB,2280.52,4094.39,3344.74,18.75,0.0163
1993,MAR,2122.3,4331.27,3446.9,18.65,-0.0053
1993,APR,2192.74,4518.5,3697.13,18.5,-0.008
1993,MAY,2227.54,4468.2,3752.33,17.65,-0.0459
1993,JUN,2328.21,4564.59,3957.87,16.8,-0.0482
1993,JUL,2633.79,4526.57,3819.41,16.7,-0.006
1993,AUG,2709.64,4401.63,3584.3,16,-0.0419
1993,SEP,2673.74,4483.64,3671.37,16.6,0.0375
1993,OCT,3233.14,4587.09,3773.22,15.15,-0.0873
1993,NOV,3346.06,4637.46,3865.33,13.6,-0.1023
1993,DEC,3994.86,4659.04,3907.58,14.25,0.0478
1994,JAN,4286.2,4606.21,3849.28,13.8,-0.0316
1994,FEB,3778.99,4598.19,3870.67,13.95,0.0109
1994,MAR,3746.1,4641.04,3814.2,15.15,0.086
1994,APR,3829.36,4665.38,3842.86,16.2,0.0693
1994,MAY,4086.72,4593.58,3885.92,16.75,0.034
1994,JUN,4191.3,4597.42,3887.18,17.6,0.0507
1994,JUL,4588.16,4602.83,3835.65,16.8,-0.0455
1994,AUG,4281,4682.17,3946.09,15.9,-0.0536
1994,SEP,4269.86,4755.16,3935.11,16.4,0.0314
1994,OCT,4124.18,4748.48,3880.93,17.2,0.0488
1994,NOV,3926.9,4677.7,3829.51,15.96,-0.0721
1994,DEC,3618.54,4700.83,3821.26,16.63,0.042
1995,JAN,3421.47,4681.64,3803.43,17.08,0.0271
1995,FEB,3260.96,4660.65,3887.68,17.01,-0.0041
1995,MAR,3133.28,4804.9,3956.18,18.67,0.0976
1995,APR,3351.48,4795.19,3893.82,18.38,-0.0155
1995,MAY,3247.36,4731.27,3912.65,17.35,-0.056
1995,JUN,3386.97,4689.15,3895.77,15.86,-0.0859
1995,JUL,3346.76,4687.05,3893.17,16.07,0.0132
1995,AUG,3493.21,4777.26,4081.92,16.78,0.0442
1995,SEP,3423.47,4956.06,4246.88,16.12,-0.0393
1995,OCT,2994.29,5038.58,4304.11,16.88,0.0471
1995,NOV,3110.49,5058.08,4354.1,17.96,0.064
1995,DEC,2931.84,5301.2,4567.64,17.94,-0.0011
1996,JAN,3391.99,5452.96,4770.77,17.97,0.0017
1996,FEB,3366.61,5199.55,4385.9,19.99,0.1124
1996,MAR,3826.72,5219.87,4326.39,21.01,0.051
1996,APR,3724.97,5286,4401.16,19.12,-0.09
